term.id,-,term.name,term.units,term.synonyms,term.definition,term.subClassOf.0.id,term.pubchem,term.casNumber,term.wikipedia,term.agrovoc,term.hsCode,term.ecoinventReferenceProductId,lookups.0.name,lookups.0.value,lookups.0.min,lookups.0.max,lookups.0.source,lookups.0.dataState,lookups.1.name,lookups.1.value,lookups.1.min,lookups.1.max,lookups.1.source,lookups.1.dataState,lookups.2.name,lookups.2.value,lookups.2.min,lookups.2.max,lookups.2.source,lookups.2.dataState,lookups.3.name,lookups.3.value,lookups.3.min,lookups.3.max,lookups.3.source,lookups.3.dataState,lookups.4.name,lookups.4.value,lookups.4.dataState,lookups.5.name,lookups.5.value,lookups.5.dataState,lookups.6.name,lookups.6.value,lookups.6.source,lookups.6.dataState,lookups.7.name,lookups.7.value,lookups.7.dataState,lookups.8.name,lookups.8.value,lookups.8.dataState,lookups.9.name,lookups.9.value,lookups.9.dataState,lookups.10.name,lookups.10.value,lookups.10.dataState,lookups.11.name,lookups.11.value,lookups.11.dataState,lookups.12.name,lookups.12.value,lookups.12.dataState,lookups.13.name,lookups.13.value,lookups.13.dataState,lookups.14.name,lookups.14.value,lookups.14.dataState,lookups.15.name,lookups.15.value,lookups.15.min,lookups.15.max,lookups.15.source,lookups.15.proxy.id,lookups.15.notes,lookups.15.dataState,lookups.16.name,lookups.16.value,lookups.16.min,lookups.16.max,lookups.16.source,lookups.16.proxy.id,lookups.16.notes,lookups.16.dataState,lookups.17.name,lookups.17.value,lookups.17.dataState,lookups.18.name,lookups.18.value,lookups.18.dataState,lookups.19.name,lookups.19.value,lookups.19.dataState,lookups.20.name,lookups.20.value,lookups.20.dataState,lookups.21.name,lookups.21.value,lookups.21.dataState,-,-,-,-,-,-
ammoniumMetaphosphateKgP2O5,ammonium Metaphosphate Kg P2O5,Ammonium Metaphosphate (kg P2O5),kg P2O5,Ammonium metaphosfate,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/Ammonium-metaphosphate,13446-46-3,-,-,-,,nitrogenContent,12,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,51,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,ammoniumMetaphosphateKgN,complete,fclCode,,missing,ecoinventMapping,"phosphate fertiliser, as P2O5, market for phosphate fertiliser, as P2O5: 1",requires validation,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,,missing,nebraskaExtensionFertiliserCode,201,complete,sensitivityAlternativeTerms,phosphateRockKgP2O5;tripleSuperPhosphateKgP2O5;calciumMetaphosphateKgP2O5,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
ammoniumNitrateKgN,ammonium Nitrate Kg N,Ammonium Nitrate (kg N),kg N,N2H4O3; AN ; NH4NO3,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/22985,6484-52-2,https://en.wikipedia.org/wiki/Ammonium_nitrate,http://aims.fao.org/aos/agrovoc/c_352,3102.30,,nitrogenContent,33.5,33,34,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,310230,complete,ecoinventMapping,"ammonium nitrate, as N, market for ammonium nitrate, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.015;temperate:0.016;warm:0.02,complete,NH3_emissions_factor_basic,cool:0.032;temperate:0.033;warm:0.041,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.03,0,0.12,"IPCC (2019) Chapter 11, Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,IPCC_2019_FRACGASF_NOx-N,0.029,0,0.116,"IPCC (2019) Chapter 11, Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,fertGroupingNitrogen,AN_NP_KN_NPK,complete,nebraskaExtensionFertiliserCode,10,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.015,0.016,0.02,0.032,0.033,0.041
ammoniumNitratePhosphateKgN,ammonium Nitrate Phosphate Kg N,Ammonium Nitrate Phosphate (kg N),kg N,ANP fertiliser; Ammonium Phosphate Nitrate,-,-,https://pubchem.ncbi.nlm.nih.gov/substance/319364603,57608-40-9,-,-,3105.51,,nitrogenContent,27,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,14,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,ammoniumNitratePhosphateKgP2O5,complete,fclCode,310551,complete,ecoinventMapping,"nitrogen fertiliser, as N, market for nitrogen fertiliser, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.05;temperate:0.051;warm:0.064,complete,NH3_emissions_factor_basic,cool:0.091;temperate:0.094;warm:0.117,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.03,0,0.12,-,ammoniumNitrateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.029,0,0.116,-,ammoniumNitrateKgN,-,complete,fertGroupingNitrogen,AN_NP_KN_NPK,complete,nebraskaExtensionFertiliserCode,206,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.05,0.051,0.064,0.091,0.094,0.117
ammoniumNitratePhosphateKgP2O5,ammonium Nitrate Phosphate Kg P2O5,Ammonium Nitrate Phosphate (kg P2O5),kg P2O5,ANP fertiliser; Ammonium Phosphate Nitrate,-,-,https://pubchem.ncbi.nlm.nih.gov/substance/319364603,57608-40-9,-,-,3105.51,,nitrogenContent,27,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,14,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,ammoniumNitratePhosphateKgN,complete,fclCode,310551,complete,ecoinventMapping,"phosphate fertiliser, as P2O5, market for phosphate fertiliser, as P2O5: 1",requires validation,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,,missing,nebraskaExtensionFertiliserCode,206,complete,sensitivityAlternativeTerms,phosphateRockKgP2O5;tripleSuperPhosphateKgP2O5;calciumMetaphosphateKgP2O5,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
ammoniumSulphateKgN,ammonium Sulphate Kg N,Ammonium Sulphate (kg N),kg N,(NH4)2SO4; Ammonium Sulfate; AS,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/6097028,7783-20-2,https://en.wikipedia.org/wiki/Ammonium_sulfate,http://aims.fao.org/aos/agrovoc/c_354,3102.21,,nitrogenContent,20.5,20,21,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,24,-,-,-,complete,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,310221,complete,ecoinventMapping,"ammonium sulfate, as N, market for ammonium sulfate, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.09;temperate:0.092;warm:0.115,complete,NH3_emissions_factor_basic,cool:0.165;temperate:0.17;warm:0.212,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.095,0.0,0.1,"IPCC (2019) Chapter 11, Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,IPCC_2019_FRACGASF_NOx-N,0.007,0.0,0.0,"IPCC (2019) Chapter 11, Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,fertGroupingNitrogen,AS,complete,nebraskaExtensionFertiliserCode,24,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.09,0.092,0.115,0.165,0.17,0.212
ammoniumSulphateNitrateKgN,ammonium Sulphate Nitrate Kg N,Ammonium Sulphate Nitrate (kg N),kg N,NH4SO4.2(NH4NO3); ASN; Ammonium Sulfate Nitrate; Ammonium Nitrate Sulphate; Ammonium Nitrate Sulfate; Triammonium Nitrate Sulphate; Triammonium Nitrate Sulfate; Triazanium; H12N4O7S; Ammonium Nitrosulphate; Ammonium Nitro Sulphate,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/Triammonium-nitrate-sulfate,12436-94-1,-,-,-,,nitrogenContent,26,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,13,-,-,-,complete,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"ammonium sulfate, as N, market for ammonium sulfate, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.09;temperate:0.092;warm:0.115,complete,NH3_emissions_factor_basic,cool:0.165;temperate:0.17;warm:0.212,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.095,0.0,0.1,-,ammoniumSulphateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.007,0.0,0.0,-,ammoniumSulphateKgN,-,complete,fertGroupingNitrogen,AS,complete,nebraskaExtensionFertiliserCode,27,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.09,0.092,0.115,0.165,0.17,0.212
ammoniumPolysulphideKgN,ammonium Polysulphide Kg N,Ammonium Polysulphide (kg N),kg N,H8N2S3; Ammonium Polysulfide,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/12259-92-6,12259-92-6,-,-,-,,nitrogenContent,20,18,23,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,,,,,missing,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"ammonium sulfate, as N, market for ammonium sulfate, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.09;temperate:0.092;warm:0.115,complete,NH3_emissions_factor_basic,cool:0.165;temperate:0.17;warm:0.212,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.095,0.0,0.1,-,ammoniumSulphateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.007,0.0,0.0,-,ammoniumSulphateKgN,-,complete,fertGroupingNitrogen,AS,complete,nebraskaExtensionFertiliserCode,20,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.09,0.092,0.115,0.165,0.17,0.212
ammoniumThiosulphateKgN,ammonium Thiosulphate Kg N,Ammonium Thiosulphate (kg N),kg N,H8N2O3S2; Ammonium Thiosulfate,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/7783-18-8,7783-18-8,https://en.wikipedia.org/wiki/Ammonium_thiosulfate,-,-,,nitrogenContent,12,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,,,,,missing,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"ammonium sulfate, as N, market for ammonium sulfate, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.09;temperate:0.092;warm:0.115,complete,NH3_emissions_factor_basic,cool:0.165;temperate:0.17;warm:0.212,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.095,0.0,0.1,-,ammoniumSulphateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.007,0.0,0.0,-,ammoniumSulphateKgN,-,complete,fertGroupingNitrogen,AS,complete,nebraskaExtensionFertiliserCode,31,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.09,0.092,0.115,0.165,0.17,0.212
anhydrousAmmoniaKgN,anhydrous Ammonia Kg N,Anhydrous Ammonia (kg N),kg N,NH3; AnhA,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/7664-41-7,7664-41-7,https://en.wikipedia.org/wiki/Ammonia,-,-,,nitrogenContent,82,80,83,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"nitrogen fertiliser, as N, market for nitrogen fertiliser, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.019;temperate:0.02;warm:0.025,complete,NH3_emissions_factor_basic,cool:0.035;temperate:0.036;warm:0.046,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.029,0.0,0.0,"IPCC (2019) Chapter 11, Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,IPCC_2019_FRACGASF_NOx-N,0.001,0.0,0.0,"IPCC (2019) Chapter 11, Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,fertGroupingNitrogen,AnhA_AquaA,complete,nebraskaExtensionFertiliserCode,2,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.019,0.02,0.025,0.035,0.036,0.046
aqueousAmmoniaKgN,aqueous Ammonia Kg N,Aqueous Ammonia (kg N),kg N,NH3; Ammonia solution; Ammonia water; Ammonium hydroxide; Ammoniacal liquor; Ammonia liquor; Aqua ammonia; Aqueous ammonia; AqA; AquA; Liquid ammonia,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/1336-21-6,1336-21-6,https://en.wikipedia.org/wiki/Ammonia_solution,-,2814.10,,nitrogenContent,20.5,10,30,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,2814,complete,ecoinventMapping,"nitrogen fertiliser, as N, market for nitrogen fertiliser, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.019;temperate:0.02;warm:0.025,complete,NH3_emissions_factor_basic,cool:0.035;temperate:0.036;warm:0.046,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.029,0.0,0.0,-,anhydrousAmmoniaKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.001,0.0,0.0,-,anhydrousAmmoniaKgN,-,complete,fertGroupingNitrogen,AnhA_AquaA,complete,nebraskaExtensionFertiliserCode,6,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.019,0.02,0.025,0.035,0.036,0.046
calciumAmmoniumNitrateKgN,calcium Ammonium Nitrate Kg N,Calcium Ammonium Nitrate (kg N),kg N,Nitro-limestone; Nitrochalk; CAN; Ammonium Nitrate-Limestone Mixtures,-,-,https://pubchem.ncbi.nlm.nih.gov/substance/254767379,15245-12-2,https://en.wikipedia.org/wiki/Calcium_ammonium_nitrate,http://aims.fao.org/aos/agrovoc/c_23997,3102.40,,nitrogenContent,27,-,-,-,complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,310240,complete,ecoinventMapping,"nitrogen fertiliser, as N, market for nitrogen fertiliser, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.008;temperate:0.008;warm:0.01,complete,NH3_emissions_factor_basic,cool:0.017;temperate:0.017;warm:0.021,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.016,0,0.032,"IPCC (2019) Chapter 11, Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,IPCC_2019_FRACGASF_NOx-N,0.016,0,0.032,"IPCC (2019) Chapter 11, Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,fertGroupingNitrogen,CAN,complete,nebraskaExtensionFertiliserCode,35,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.008,0.008,0.01,0.017,0.017,0.021
calciumAmmoniumPhosphateKgN,calcium Ammonium Phosphate Kg N,Calcium Ammonium Phosphate (kg N),kg N,CAP; Ammonium Calcium Phosphate,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/Calcium-ammonium-phosphate,-,-,-,-,,nitrogenContent,9.144350098,-,-,-,complete,phosphateContentAsP2O5,46.37,-,-,-,complete,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,calciumAmmoniumPhosphateKgP2O5,complete,fclCode,,missing,ecoinventMapping,"nitrogen fertiliser, as N, market for nitrogen fertiliser, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.008;temperate:0.008;warm:0.01,complete,NH3_emissions_factor_basic,cool:0.017;temperate:0.017;warm:0.021,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.016,0,0.032,-,calciumAmmoniumNitrateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.016,0,0.032,-,calciumAmmoniumNitrateKgN,-,complete,fertGroupingNitrogen,AN_NP_KN_NPK,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.008,0.008,0.01,0.017,0.017,0.021
calciumAmmoniumPhosphateKgP2O5,calcium Ammonium Phosphate Kg P2O5,Calcium Ammonium Phosphate (kg P2O5),kg P2O5,CAP; Ammonium Calcium Phosphate,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/Calcium-ammonium-phosphate,-,-,-,-,,nitrogenContent,9.144350098,-,-,-,complete,phosphateContentAsP2O5,46.37,-,-,-,complete,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,calciumAmmoniumPhosphateKgN,complete,fclCode,,missing,ecoinventMapping,"phosphate fertiliser, as P2O5, market for phosphate fertiliser, as P2O5: 1",requires validation,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,,missing,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,phosphateRockKgP2O5;tripleSuperPhosphateKgP2O5;calciumMetaphosphateKgP2O5,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
calciumMetaphosphateKgP2O5,calcium Metaphosphate Kg P2O5,Calcium Metaphosphate (kg P2O5),kg P2O5,"Calcium bis(metaphosphate); Metaphosphoric acid, calcium salt; Metaphosphoric acid (HPO3), calcium salt (2:1); Calcium phosphate (Ca(PO3)2); Calcium dimetaphosphate (Ca(PO3)2); EINECS 236-769-6",-,-,https://pubchem.ncbi.nlm.nih.gov/compound/Calcium-metaphosphate,13477-39-9,-,-,-,,nitrogenContent,-,-,-,-,not required,phosphateContentAsP2O5,61,60,62,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"phosphate fertiliser, as P2O5, market for phosphate fertiliser, as P2O5: 1",requires validation,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,,missing,nebraskaExtensionFertiliserCode,223,complete,sensitivityAlternativeTerms,phosphateRockKgP2O5;tripleSuperPhosphateKgP2O5;calciumMetaphosphateKgP2O5,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
ferrousAmmoniumSulphateKgN,ferrous Ammonium Sulphate Kg N,Ferrous Ammonium Sulphate (kg N),kg N,Ammonium iron(II) sulfate; Mohr's salt; Ferrous Ammonium Sulfate,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/Ferrous-ammonium-sulfate,10045-89-3,https://en.wikipedia.org/wiki/Ammonium_iron(II)_sulfate,http://aims.fao.org/aos/agrovoc/c_2861,-,,nitrogenContent,7,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,16,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"ammonium sulfate, as N, market for ammonium sulfate, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.09;temperate:0.092;warm:0.115,complete,NH3_emissions_factor_basic,cool:0.165;temperate:0.17;warm:0.212,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.095,0.0,0.1,-,ammoniumSulphateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.007,0.0,0.0,-,ammoniumSulphateKgN,-,complete,fertGroupingNitrogen,AS,complete,nebraskaExtensionFertiliserCode,50,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.09,0.092,0.115,0.165,0.17,0.212
calciumCyanamideKgN,calcium Cyanamide Kg N,Calcium Cyanamide (kg N),kg N,"CH2CaN2; Cyanamide, calcium",-,-,https://pubchem.ncbi.nlm.nih.gov/compound/45051688,156-62-7,https://en.wikipedia.org/wiki/Calcium_cyanamide,http://aims.fao.org/aos/agrovoc/c_1198,3808.10 ,,nitrogenContent,20.5,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"nitrogen fertiliser, as N, market for nitrogen fertiliser, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.019;temperate:0.02;warm:0.025,complete,NH3_emissions_factor_basic,cool:0.035;temperate:0.036;warm:0.046,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.002,0,0.004,-,sodiumNitrateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.01,0,0.02,-,sodiumNitrateKgN,-,complete,fertGroupingNitrogen,AnhA_AquaA,complete,nebraskaExtensionFertiliserCode,38,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.019,0.02,0.025,0.035,0.036,0.046
